wbgene,gene_name,gene_id,concise_description,automated_description,gene_class_description,go_term,go_name,go_description,inside_CI,eqtl,vars,pc_vars,go_annotation
WBGene00000116,alh-10,C54D1.4,none available ,"Is an ortholog of human ALDH8A1 (aldehyde dehydrogenase 8  family member A1). Is predicted to have oxidoreductase activity, acting on the aldehyde  or oxo group of donors, NAD or NADP as acceptor. ",ALdehyde deHydrogenase ,GO:0016620,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",Catalysis of an oxidation-reduction (redox) reaction in which an aldehyde or ketone (oxo) group acts as a hydrogen or electron donor and reduces NAD or NADP.,FALSE,TRUE,FALSE,FALSE,NA
WBGene00000116,alh-10,C54D1.4,none available ,"Is an ortholog of human ALDH8A1 (aldehyde dehydrogenase 8  family member A1). Is predicted to have oxidoreductase activity, acting on the aldehyde  or oxo group of donors, NAD or NADP as acceptor. ",ALdehyde deHydrogenase ,GO:0055114,oxidation-reduction process,"A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000190,arf-1.1,F45E4.1,none available ,Is predicted to have GTP binding activity. Is involved in  IRE1-mediated unfolded protein response. ,ADP-Ribosylation Factor related ,GO:0000166,nucleotide binding,"Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000190,arf-1.1,F45E4.1,none available ,Is predicted to have GTP binding activity. Is involved in  IRE1-mediated unfolded protein response. ,ADP-Ribosylation Factor related ,GO:0005525,GTP binding,"Interacting selectively and non-covalently with GTP, guanosine triphosphate.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000190,arf-1.1,F45E4.1,none available ,Is predicted to have GTP binding activity. Is involved in  IRE1-mediated unfolded protein response. ,ADP-Ribosylation Factor related ,GO:0005737,cytoplasm,"All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000190,arf-1.1,F45E4.1,none available ,Is predicted to have GTP binding activity. Is involved in  IRE1-mediated unfolded protein response. ,ADP-Ribosylation Factor related ,GO:0005794,Golgi apparatus,"A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000190,arf-1.1,F45E4.1,none available ,Is predicted to have GTP binding activity. Is involved in  IRE1-mediated unfolded protein response. ,ADP-Ribosylation Factor related ,GO:0005886,plasma membrane,The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.,FALSE,TRUE,FALSE,FALSE,NA
WBGene00000190,arf-1.1,F45E4.1,none available ,Is predicted to have GTP binding activity. Is involved in  IRE1-mediated unfolded protein response. ,ADP-Ribosylation Factor related ,GO:0006886,intracellular protein transport,"The directed movement of proteins in a cell, including the movement of proteins between specific compartments or structures within a cell, such as organelles of a eukaryotic cell.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000190,arf-1.1,F45E4.1,none available ,Is predicted to have GTP binding activity. Is involved in  IRE1-mediated unfolded protein response. ,ADP-Ribosylation Factor related ,GO:0015031,protein transport,"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000190,arf-1.1,F45E4.1,none available ,Is predicted to have GTP binding activity. Is involved in  IRE1-mediated unfolded protein response. ,ADP-Ribosylation Factor related ,GO:0016192,vesicle-mediated transport,"A cellular transport process in which transported substances are moved in membrane-bounded vesicles; transported substances are enclosed in the vesicle lumen or located in the vesicle membrane. The process begins with a step that directs a substance to the forming vesicle, and includes vesicle budding and coating. Vesicles are then targeted to, and fuse with, an acceptor membrane.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000190,arf-1.1,F45E4.1,none available ,Is predicted to have GTP binding activity. Is involved in  IRE1-mediated unfolded protein response. ,ADP-Ribosylation Factor related ,GO:0030968,endoplasmic reticulum unfolded protein response,The series of molecular signals generated as a consequence of the presence of unfolded proteins in the endoplasmic reticulum (ER) or other ER-related stress; results in changes in the regulation of transcription and translation.,FALSE,TRUE,FALSE,FALSE,NA
WBGene00000190,arf-1.1,F45E4.1,none available ,Is predicted to have GTP binding activity. Is involved in  IRE1-mediated unfolded protein response. ,ADP-Ribosylation Factor related ,GO:0036498,IRE1-mediated unfolded protein response,"A series of molecular signals mediated by the endoplasmic reticulum stress sensor IRE1 (Inositol-requiring transmembrane kinase/endonuclease). Begins with activation of IRE1 in response to endoplasmic reticulum (ER) stress, and ends with regulation of a downstream cellular process, e.g. transcription. One target of activated IRE1 is the transcription factor HAC1 in yeast, or XBP1 in mammals; IRE1 cleaves an intron of a mRNA coding for HAC1/XBP1 to generate an activated HAC1/XBP1 transcription factor, which controls the up regulation of UPR-related genes. At least in mammals, IRE1 can also signal through additional intracellular pathways including JNK and NF-kappaB.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000373,cyp-14A5,F08F3.7,"cyp-14A5 encodes one of ~80 C. elegans cytochrome P450s: membrane-associated,  heme-containing NADPH-dependent monooxygenases that catalyze the oxidative metabolism  of a variety of exogenous compounds and endogenous substrates; cyp-14A5 expression  is upregulated in response to stressors such as ionizing radiation and bacterial  infection. ",Is an ortholog of human CYP2U1 (cytochrome P450 family 2  subfamily U member 1). Is predicted to have heme binding activity; iron ion binding  activity; and oxidoreductase activity. Is involved in response to gamma radiation.  Human ortholog(s) of this gene are implicated in hereditary spastic paraplegia 56;  lung cancer; and rickets. ,CYtochrome P450 family ,GO:0004497,monooxygenase activity,Catalysis of the incorporation of one atom from molecular oxygen into a compound and the reduction of the other atom of oxygen to water.,FALSE,TRUE,FALSE,FALSE,NA
WBGene00000373,cyp-14A5,F08F3.7,"cyp-14A5 encodes one of ~80 C. elegans cytochrome P450s: membrane-associated,  heme-containing NADPH-dependent monooxygenases that catalyze the oxidative metabolism  of a variety of exogenous compounds and endogenous substrates; cyp-14A5 expression  is upregulated in response to stressors such as ionizing radiation and bacterial  infection. ",Is an ortholog of human CYP2U1 (cytochrome P450 family 2  subfamily U member 1). Is predicted to have heme binding activity; iron ion binding  activity; and oxidoreductase activity. Is involved in response to gamma radiation.  Human ortholog(s) of this gene are implicated in hereditary spastic paraplegia 56;  lung cancer; and rickets. ,CYtochrome P450 family ,GO:0005506,iron ion binding,Interacting selectively and non-covalently with iron (Fe) ions.,FALSE,TRUE,FALSE,FALSE,NA
WBGene00000373,cyp-14A5,F08F3.7,"cyp-14A5 encodes one of ~80 C. elegans cytochrome P450s: membrane-associated,  heme-containing NADPH-dependent monooxygenases that catalyze the oxidative metabolism  of a variety of exogenous compounds and endogenous substrates; cyp-14A5 expression  is upregulated in response to stressors such as ionizing radiation and bacterial  infection. ",Is an ortholog of human CYP2U1 (cytochrome P450 family 2  subfamily U member 1). Is predicted to have heme binding activity; iron ion binding  activity; and oxidoreductase activity. Is involved in response to gamma radiation.  Human ortholog(s) of this gene are implicated in hereditary spastic paraplegia 56;  lung cancer; and rickets. ,CYtochrome P450 family ,GO:0010332,response to gamma radiation,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000373,cyp-14A5,F08F3.7,"cyp-14A5 encodes one of ~80 C. elegans cytochrome P450s: membrane-associated,  heme-containing NADPH-dependent monooxygenases that catalyze the oxidative metabolism  of a variety of exogenous compounds and endogenous substrates; cyp-14A5 expression  is upregulated in response to stressors such as ionizing radiation and bacterial  infection. ",Is an ortholog of human CYP2U1 (cytochrome P450 family 2  subfamily U member 1). Is predicted to have heme binding activity; iron ion binding  activity; and oxidoreductase activity. Is involved in response to gamma radiation.  Human ortholog(s) of this gene are implicated in hereditary spastic paraplegia 56;  lung cancer; and rickets. ,CYtochrome P450 family ,GO:0016491,oxidoreductase activity,"Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000373,cyp-14A5,F08F3.7,"cyp-14A5 encodes one of ~80 C. elegans cytochrome P450s: membrane-associated,  heme-containing NADPH-dependent monooxygenases that catalyze the oxidative metabolism  of a variety of exogenous compounds and endogenous substrates; cyp-14A5 expression  is upregulated in response to stressors such as ionizing radiation and bacterial  infection. ",Is an ortholog of human CYP2U1 (cytochrome P450 family 2  subfamily U member 1). Is predicted to have heme binding activity; iron ion binding  activity; and oxidoreductase activity. Is involved in response to gamma radiation.  Human ortholog(s) of this gene are implicated in hereditary spastic paraplegia 56;  lung cancer; and rickets. ,CYtochrome P450 family ,GO:0016705,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen","Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from each of two donors, and molecular oxygen is reduced or incorporated into a donor.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000373,cyp-14A5,F08F3.7,"cyp-14A5 encodes one of ~80 C. elegans cytochrome P450s: membrane-associated,  heme-containing NADPH-dependent monooxygenases that catalyze the oxidative metabolism  of a variety of exogenous compounds and endogenous substrates; cyp-14A5 expression  is upregulated in response to stressors such as ionizing radiation and bacterial  infection. ",Is an ortholog of human CYP2U1 (cytochrome P450 family 2  subfamily U member 1). Is predicted to have heme binding activity; iron ion binding  activity; and oxidoreductase activity. Is involved in response to gamma radiation.  Human ortholog(s) of this gene are implicated in hereditary spastic paraplegia 56;  lung cancer; and rickets. ,CYtochrome P450 family ,GO:0020037,heme binding,"Interacting selectively and non-covalently with heme, any compound of iron complexed in a porphyrin (tetrapyrrole) ring.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000373,cyp-14A5,F08F3.7,"cyp-14A5 encodes one of ~80 C. elegans cytochrome P450s: membrane-associated,  heme-containing NADPH-dependent monooxygenases that catalyze the oxidative metabolism  of a variety of exogenous compounds and endogenous substrates; cyp-14A5 expression  is upregulated in response to stressors such as ionizing radiation and bacterial  infection. ",Is an ortholog of human CYP2U1 (cytochrome P450 family 2  subfamily U member 1). Is predicted to have heme binding activity; iron ion binding  activity; and oxidoreductase activity. Is involved in response to gamma radiation.  Human ortholog(s) of this gene are implicated in hereditary spastic paraplegia 56;  lung cancer; and rickets. ,CYtochrome P450 family ,GO:0046872,metal ion binding,Interacting selectively and non-covalently with any metal ion.,FALSE,TRUE,FALSE,FALSE,NA
WBGene00000373,cyp-14A5,F08F3.7,"cyp-14A5 encodes one of ~80 C. elegans cytochrome P450s: membrane-associated,  heme-containing NADPH-dependent monooxygenases that catalyze the oxidative metabolism  of a variety of exogenous compounds and endogenous substrates; cyp-14A5 expression  is upregulated in response to stressors such as ionizing radiation and bacterial  infection. ",Is an ortholog of human CYP2U1 (cytochrome P450 family 2  subfamily U member 1). Is predicted to have heme binding activity; iron ion binding  activity; and oxidoreductase activity. Is involved in response to gamma radiation.  Human ortholog(s) of this gene are implicated in hereditary spastic paraplegia 56;  lung cancer; and rickets. ,CYtochrome P450 family ,GO:0055114,oxidation-reduction process,"A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons.",FALSE,TRUE,FALSE,FALSE,NA
WBGene00000450,ceh-28,K03A11.3,"ceh-28 encodes a homeodomain protein of the NK-2 family; ceh-28  is expressed in a single pharyngeal neuron, M4; within M4, CEH-28 functions to positively  regulate the expression of dbl-1, which encodes a TGF-beta, and hence, TGF-beta  signaling to ensure proper morphology of the pharyngeal g1 gland cells that are  located adjacent to M4. ","Is an ortholog of human NKX2-6 (NK2 homeobox 6). Is predicted  to have DNA-binding transcription factor activity, RNA polymerase II-specific and  RNA polymerase II proximal promoter sequence-specific DNA binding activity. Is involved  in positive regulation of transcription by RNA polymerase II and regulation of synapse  organization. Is expressed in several structures, including ABalaappa; ABalaappaa;  ABalaappap; ABalapapa; and M4 neuron. Human ortholog(s) of this gene are implicated  in double outlet right ventricle. ",C. Elegans Homeobox ,GO:0000978,RNA polymerase II proximal promoter sequence-specific DNA binding,Interacting selectively and non-covalently with a specific upstream regulatory DNA sequence (transcription factor recognition sequence or binding site) located in the proximal promoter of a gene transcribed by RNA polymerase II. The proximal promoter is in cis with and relatively close to the core promoter.,TRUE,FALSE,FALSE,FALSE,NA
WBGene00000450,ceh-28,K03A11.3,"ceh-28 encodes a homeodomain protein of the NK-2 family; ceh-28  is expressed in a single pharyngeal neuron, M4; within M4, CEH-28 functions to positively  regulate the expression of dbl-1, which encodes a TGF-beta, and hence, TGF-beta  signaling to ensure proper morphology of the pharyngeal g1 gland cells that are  located adjacent to M4. ","Is an ortholog of human NKX2-6 (NK2 homeobox 6). Is predicted  to have DNA-binding transcription factor activity, RNA polymerase II-specific and  RNA polymerase II proximal promoter sequence-specific DNA binding activity. Is involved  in positive regulation of transcription by RNA polymerase II and regulation of synapse  organization. Is expressed in several structures, including ABalaappa; ABalaappaa;  ABalaappap; ABalapapa; and M4 neuron. Human ortholog(s) of this gene are implicated  in double outlet right ventricle. ",C. Elegans Homeobox ,GO:0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a RNA polymerase II-transcribed gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units.,TRUE,FALSE,FALSE,FALSE,NA
WBGene00000450,ceh-28,K03A11.3,"ceh-28 encodes a homeodomain protein of the NK-2 family; ceh-28  is expressed in a single pharyngeal neuron, M4; within M4, CEH-28 functions to positively  regulate the expression of dbl-1, which encodes a TGF-beta, and hence, TGF-beta  signaling to ensure proper morphology of the pharyngeal g1 gland cells that are  located adjacent to M4. ","Is an ortholog of human NKX2-6 (NK2 homeobox 6). Is predicted  to have DNA-binding transcription factor activity, RNA polymerase II-specific and  RNA polymerase II proximal promoter sequence-specific DNA binding activity. Is involved  in positive regulation of transcription by RNA polymerase II and regulation of synapse  organization. Is expressed in several structures, including ABalaappa; ABalaappaa;  ABalaappap; ABalapapa; and M4 neuron. Human ortholog(s) of this gene are implicated  in double outlet right ventricle. ",C. Elegans Homeobox ,GO:0003677,DNA binding,Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).,TRUE,FALSE,FALSE,FALSE,NA
WBGene00000450,ceh-28,K03A11.3,"ceh-28 encodes a homeodomain protein of the NK-2 family; ceh-28  is expressed in a single pharyngeal neuron, M4; within M4, CEH-28 functions to positively  regulate the expression of dbl-1, which encodes a TGF-beta, and hence, TGF-beta  signaling to ensure proper morphology of the pharyngeal g1 gland cells that are  located adjacent to M4. ","Is an ortholog of human NKX2-6 (NK2 homeobox 6). Is predicted  to have DNA-binding transcription factor activity, RNA polymerase II-specific and  RNA polymerase II proximal promoter sequence-specific DNA binding activity. Is involved  in positive regulation of transcription by RNA polymerase II and regulation of synapse  organization. Is expressed in several structures, including ABalaappa; ABalaappaa;  ABalaappap; ABalapapa; and M4 neuron. Human ortholog(s) of this gene are implicated  in double outlet right ventricle. ",C. Elegans Homeobox ,GO:0003700,DNA-binding transcription factor activity,"A protein or a member of a complex that interacts selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene to modulate transcription. Regulatory regions include promoters (proximal and distal) and enhancers. Genes are transcriptional units, and include bacterial operons.",TRUE,FALSE,FALSE,FALSE,NA
WBGene00000450,ceh-28,K03A11.3,"ceh-28 encodes a homeodomain protein of the NK-2 family; ceh-28  is expressed in a single pharyngeal neuron, M4; within M4, CEH-28 functions to positively  regulate the expression of dbl-1, which encodes a TGF-beta, and hence, TGF-beta  signaling to ensure proper morphology of the pharyngeal g1 gland cells that are  located adjacent to M4. ","Is an ortholog of human NKX2-6 (NK2 homeobox 6). Is predicted  to have DNA-binding transcription factor activity, RNA polymerase II-specific and  RNA polymerase II proximal promoter sequence-specific DNA binding activity. Is involved  in positive regulation of transcription by RNA polymerase II and regulation of synapse  organization. Is expressed in several structures, including ABalaappa; ABalaappaa;  ABalaappap; ABalapapa; and M4 neuron. Human ortholog(s) of this gene are implicated  in double outlet right ventricle. ",C. Elegans Homeobox ,GO:0005634,nucleus,"A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.",TRUE,FALSE,FALSE,FALSE,NA
WBGene00000450,ceh-28,K03A11.3,"ceh-28 encodes a homeodomain protein of the NK-2 family; ceh-28  is expressed in a single pharyngeal neuron, M4; within M4, CEH-28 functions to positively  regulate the expression of dbl-1, which encodes a TGF-beta, and hence, TGF-beta  signaling to ensure proper morphology of the pharyngeal g1 gland cells that are  located adjacent to M4. ","Is an ortholog of human NKX2-6 (NK2 homeobox 6). Is predicted  to have DNA-binding transcription factor activity, RNA polymerase II-specific and  RNA polymerase II proximal promoter sequence-specific DNA binding activity. Is involved  in positive regulation of transcription by RNA polymerase II and regulation of synapse  organization. Is expressed in several structures, including ABalaappa; ABalaappaa;  ABalaappap; ABalapapa; and M4 neuron. Human ortholog(s) of this gene are implicated  in double outlet right ventricle. ",C. Elegans Homeobox ,GO:0006357,regulation of transcription by RNA polymerase II,"Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II.",TRUE,FALSE,FALSE,FALSE,NA
WBGene00000450,ceh-28,K03A11.3,"ceh-28 encodes a homeodomain protein of the NK-2 family; ceh-28  is expressed in a single pharyngeal neuron, M4; within M4, CEH-28 functions to positively  regulate the expression of dbl-1, which encodes a TGF-beta, and hence, TGF-beta  signaling to ensure proper morphology of the pharyngeal g1 gland cells that are  located adjacent to M4. ","Is an ortholog of human NKX2-6 (NK2 homeobox 6). Is predicted  to have DNA-binding transcription factor activity, RNA polymerase II-specific and  RNA polymerase II proximal promoter sequence-specific DNA binding activity. Is involved  in positive regulation of transcription by RNA polymerase II and regulation of synapse  organization. Is expressed in several structures, including ABalaappa; ABalaappaa;  ABalaappap; ABalapapa; and M4 neuron. Human ortholog(s) of this gene are implicated  in double outlet right ventricle. ",C. Elegans Homeobox ,GO:0030154,cell differentiation,"The process in which relatively unspecialized cells, e.g. embryonic or regenerative cells, acquire specialized structural and/or functional features that characterize the cells, tissues, or organs of the mature organism or some other relatively stable phase of the organism's life history. Differentiation includes the processes involved in commitment of a cell to a specific fate and its subsequent development to the mature state.",TRUE,FALSE,FALSE,FALSE,NA
WBGene00000450,ceh-28,K03A11.3,"ceh-28 encodes a homeodomain protein of the NK-2 family; ceh-28  is expressed in a single pharyngeal neuron, M4; within M4, CEH-28 functions to positively  regulate the expression of dbl-1, which encodes a TGF-beta, and hence, TGF-beta  signaling to ensure proper morphology of the pharyngeal g1 gland cells that are  located adjacent to M4. ","Is an ortholog of human NKX2-6 (NK2 homeobox 6). Is predicted  to have DNA-binding transcription factor activity, RNA polymerase II-specific and  RNA polymerase II proximal promoter sequence-specific DNA binding activity. Is involved  in positive regulation of transcription by RNA polymerase II and regulation of synapse  organization. Is expressed in several structures, including ABalaappa; ABalaappaa;  ABalaappap; ABalapapa; and M4 neuron. Human ortholog(s) of this gene are implicated  in double outlet right ventricle. ",C. Elegans Homeobox ,GO:0034243,regulation of transcription elongation from RNA polymerase II promoter,"Any process that modulates the frequency, rate or extent of transcription elongation, the extension of an RNA molecule after transcription initiation and promoter clearance by the addition of ribonucleotides, catalyzed by RNA polymerase II.",TRUE,FALSE,FALSE,FALSE,NA
